latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
56.0406,-121.3964,311,1.2,1.1,2003-01-01,0606,Terra,MODIS,81,6.2,270.3,21.5,N,0
57.0866,-118.2289,321.9,1.2,1.1,2003-01-01,1935,Terra,MODIS,81,6.2,271.7,33.3,D,0
57.0754,-118.1718,303.9,1.2,1.1,2003-01-01,1935,Terra,MODIS,57,6.2,271.1,15.1,D,0
57.0902,-118.2478,303.1,1.2,1.1,2003-01-01,1935,Terra,MODIS,55,6.2,270.9,13.9,D,0
57.0717,-118.1528,300.1,1.2,1.1,2003-01-01,1935,Terra,MODIS,29,6.2,271.2,12.4,D,0
57.0779,-118.2491,308.6,2.3,1.5,2003-01-01,1943,Aqua,MODIS,67,6.2,271.6,48.5,D,0
57.0817,-118.2483,310.2,2.3,1.5,2003-01-01,1943,Aqua,MODIS,70,6.2,271.5,51.2,D,0
52.1946,-122.0364,316.5,1.3,1.1,2003-01-01,2119,Aqua,MODIS,49,6.2,271.8,25.5,D,0
52.2558,-122.7319,307.8,1.2,1.1,2003-01-01,2119,Aqua,MODIS,66,6.2,270.4,18.9,D,0
55.9954,-119.0992,331.5,2,1.4,2003-01-01,2120,Aqua,MODIS,83,6.2,269.1,95.9,D,0
55.9935,-119.1306,325.2,1.9,1.4,2003-01-01,2120,Aqua,MODIS,84,6.2,269.8,75.1,D,0
57.0815,-118.2415,309.7,2.2,1.4,2003-01-01,2120,Aqua,MODIS,69,6.2,272.7,46.1,D,0
57.0805,-118.249,311.8,2.2,1.4,2003-01-01,2120,Aqua,MODIS,72,6.2,272.7,48.2,D,0
54.9664,-119.9619,318,1,1,2003-01-03,1924,Terra,MODIS,78,6.2,272.9,22.2,D,0
54.9639,-119.9464,345.7,1,1,2003-01-03,1924,Terra,MODIS,94,6.2,274.5,61.3,D,0
51.2196,-121.3929,336.5,1,1,2003-01-03,1925,Terra,MODIS,90,6.2,270.2,45.3,D,0
52.0259,-121.6855,365.8,1,1,2003-01-03,1925,Terra,MODIS,95,6.2,269.4,0,D,0
52.1968,-122.5457,312.6,1,1,2003-01-03,1925,Terra,MODIS,50,6.2,268.7,15.4,D,0
52.1859,-122.5349,312.8,1,1,2003-01-03,1925,Terra,MODIS,52,6.2,267.4,16.1,D,0
52.2092,-122.0781,303.5,1,1,2003-01-03,1925,Terra,MODIS,56,6.2,270.4,10.6,D,0
52.2069,-122.0638,309.7,1,1,2003-01-03,1925,Terra,MODIS,69,6.2,270.7,14.5,D,0
51.2172,-121.3785,372.1,1,1,2003-01-03,1925,Terra,MODIS,100,6.2,274.1,136.2,D,0
52.0925,-123.8732,406.8,1,1,2003-01-03,1925,Terra,MODIS,100,6.2,285,304.1,D,0
